trial_id,status,duration_s,cfg_profile,cfg_seq_len,cfg_temperature,cfg_threshold,cfg_vocab_size,metric_argmax_sample_agreement,metric_avg_top_prob,metric_confident_entropy_avg,metric_median_top_prob,metric_p10_top_prob,metric_p90_top_prob,metric_skip_rate,metric_threshold,metric_uncertain_entropy_avg
token_confidence_threshold_t0001,completed,0.4445,natural,512,0.3,0.5,32000,0.318359375,0.3240562975406647,1.2538114786148071,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.244140625,0.5,5.294529438018799
token_confidence_threshold_t0002,completed,0.4016,natural,512,0.3,0.6,32000,0.318359375,0.3240562975406647,0.9853432774543762,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.212890625,0.6,5.206717014312744
token_confidence_threshold_t0003,completed,0.4036,natural,512,0.3,0.7,32000,0.318359375,0.3240562975406647,0.8251516222953796,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.193359375,0.7,5.142904281616211
token_confidence_threshold_t0004,completed,0.4046,natural,512,0.3,0.8,32000,0.318359375,0.3240562975406647,0.4966415464878082,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.1484375,0.8,4.972396373748779
token_confidence_threshold_t0005,completed,0.3963,natural,512,0.3,0.85,32000,0.318359375,0.3240562975406647,0.37708425521850586,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.130859375,0.85,4.899876594543457
token_confidence_threshold_t0006,completed,0.4040,natural,512,0.3,0.9,32000,0.318359375,0.3240562975406647,0.3136198818683624,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.119140625,0.9,4.848289489746094
token_confidence_threshold_t0007,completed,0.4129,natural,512,0.3,0.95,32000,0.318359375,0.3240562975406647,0.1608729213476181,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.083984375,0.95,4.688255786895752
token_confidence_threshold_t0008,completed,0.3969,natural,512,0.3,0.99,32000,0.318359375,0.3240562975406647,0.03650813549757004,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.041015625,0.99,4.490718841552734
token_confidence_threshold_t0009,completed,0.4063,natural,512,0.3,0.995,32000,0.318359375,0.3240562975406647,0.026119910180568695,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.033203125,0.995,4.455081939697266
token_confidence_threshold_t0010,completed,0.4013,natural,512,0.3,0.999,32000,0.318359375,0.3240562975406647,0.0049753920175135136,0.17822116613388062,0.05504521355032921,0.9284676909446716,0.009765625,0.999,4.350462436676025
token_confidence_threshold_t0011,completed,0.4042,natural,512,0.5,0.5,32000,0.0703125,0.076384998857975,3.0978357791900635,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0390625,0.5,8.162808418273926
token_confidence_threshold_t0012,completed,0.3988,natural,512,0.5,0.6,32000,0.0703125,0.076384998857975,2.649521589279175,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.029296875,0.6,8.125383377075195
token_confidence_threshold_t0013,completed,0.3999,natural,512,0.5,0.7,32000,0.0703125,0.076384998857975,2.0111849308013916,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.017578125,0.7,8.071486473083496
token_confidence_threshold_t0014,completed,0.4041,natural,512,0.5,0.8,32000,0.0703125,0.076384998857975,1.2678080797195435,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.009765625,0.8,8.031003952026367
token_confidence_threshold_t0015,completed,0.4059,natural,512,0.5,0.85,32000,0.0703125,0.076384998857975,0.8114790320396423,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.005859375,0.85,8.007119178771973
token_confidence_threshold_t0016,completed,0.4092,natural,512,0.5,0.9,32000,0.0703125,0.076384998857975,0.6419230699539185,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.00390625,0.9,7.9936747550964355
token_confidence_threshold_t0017,completed,0.4002,natural,512,0.5,0.95,32000,0.0703125,0.076384998857975,0.18699556589126587,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.001953125,0.95,7.980178356170654
token_confidence_threshold_t0018,completed,0.4053,natural,512,0.5,0.99,32000,0.0703125,0.076384998857975,0,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0,0.99,7.964957237243652
token_confidence_threshold_t0019,completed,0.4031,natural,512,0.5,0.995,32000,0.0703125,0.076384998857975,0,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0,0.995,7.964957237243652
token_confidence_threshold_t0020,completed,0.4119,natural,512,0.5,0.999,32000,0.0703125,0.076384998857975,0,0.02223607338964939,0.009103323332965374,0.19812050461769104,0.0,0.999,7.964957237243652
token_confidence_threshold_t0021,completed,0.4118,natural,512,0.7,0.5,32000,0.009765625,0.01459185965359211,4.205361366271973,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.001953125,0.5,9.296390533447266
token_confidence_threshold_t0022,completed,0.4015,natural,512,0.7,0.6,32000,0.009765625,0.01459185965359211,4.205361366271973,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.001953125,0.6,9.296390533447266
token_confidence_threshold_t0023,completed,0.3997,natural,512,0.7,0.7,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.7,9.286446571350098
token_confidence_threshold_t0024,completed,0.4154,natural,512,0.7,0.8,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.8,9.286446571350098
token_confidence_threshold_t0025,completed,0.4364,natural,512,0.7,0.85,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.85,9.286446571350098
token_confidence_threshold_t0026,completed,0.4004,natural,512,0.7,0.9,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.9,9.286446571350098
token_confidence_threshold_t0027,completed,0.3988,natural,512,0.7,0.95,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.95,9.286446571350098
token_confidence_threshold_t0028,completed,0.3984,natural,512,0.7,0.99,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.99,9.286446571350098
token_confidence_threshold_t0029,completed,0.3951,natural,512,0.7,0.995,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.995,9.286446571350098
token_confidence_threshold_t0030,completed,0.4010,natural,512,0.7,0.999,32000,0.009765625,0.01459185965359211,0,0.005123138893395662,0.0026868139393627644,0.02772337570786476,0.0,0.999,9.286446571350098
token_confidence_threshold_t0031,completed,0.4138,natural,512,1.0,0.5,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.5,9.867181777954102
token_confidence_threshold_t0032,completed,0.4086,natural,512,1.0,0.6,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.6,9.867181777954102
token_confidence_threshold_t0033,completed,0.4028,natural,512,1.0,0.7,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.7,9.867181777954102
token_confidence_threshold_t0034,completed,0.4064,natural,512,1.0,0.8,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.8,9.867181777954102
token_confidence_threshold_t0035,completed,0.4131,natural,512,1.0,0.85,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.85,9.867181777954102
token_confidence_threshold_t0036,completed,0.4195,natural,512,1.0,0.9,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.9,9.867181777954102
token_confidence_threshold_t0037,completed,0.4147,natural,512,1.0,0.95,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.95,9.867181777954102
token_confidence_threshold_t0038,completed,0.4084,natural,512,1.0,0.99,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.99,9.867181777954102
token_confidence_threshold_t0039,completed,0.3984,natural,512,1.0,0.995,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.995,9.867181777954102
token_confidence_threshold_t0040,completed,0.4061,natural,512,1.0,0.999,32000,0.001953125,0.002451634733006358,0,0.001371723716147244,0.0008714497089385986,0.004578202497214079,0.0,0.999,9.867181777954102
token_confidence_threshold_t0041,completed,0.4050,natural,512,1.5,0.5,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.5,10.150615692138672
token_confidence_threshold_t0042,completed,0.4114,natural,512,1.5,0.6,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.6,10.150615692138672
token_confidence_threshold_t0043,completed,0.4116,natural,512,1.5,0.7,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.7,10.150615692138672
token_confidence_threshold_t0044,completed,0.4158,natural,512,1.5,0.8,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.8,10.150615692138672
token_confidence_threshold_t0045,completed,0.4128,natural,512,1.5,0.85,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.85,10.150615692138672
token_confidence_threshold_t0046,completed,0.3978,natural,512,1.5,0.9,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.9,10.150615692138672
token_confidence_threshold_t0047,completed,0.4141,natural,512,1.5,0.95,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.95,10.150615692138672
token_confidence_threshold_t0048,completed,0.3989,natural,512,1.5,0.99,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.99,10.150615692138672
token_confidence_threshold_t0049,completed,0.3984,natural,512,1.5,0.995,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.995,10.150615692138672
token_confidence_threshold_t0050,completed,0.3985,natural,512,1.5,0.999,32000,0.001953125,0.0005755103193223476,0,0.00043436966370791197,0.00032111559994518757,0.0009722835966385901,0.0,0.999,10.150615692138672
token_confidence_threshold_t0051,completed,0.4044,confident,512,0.3,0.5,32000,0.748046875,0.7490770220756531,0.049271173775196075,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.7109375,0.5,5.4244489669799805
token_confidence_threshold_t0052,completed,0.4117,confident,512,0.3,0.6,32000,0.748046875,0.7490770220756531,0.01272797305136919,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.703125,0.6,5.369546413421631
token_confidence_threshold_t0053,completed,0.4059,confident,512,0.3,0.7,32000,0.748046875,0.7490770220756531,0.01272797305136919,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.703125,0.7,5.369546413421631
token_confidence_threshold_t0054,completed,0.4038,confident,512,0.3,0.8,32000,0.748046875,0.7490770220756531,0.00831310823559761,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.701171875,0.8,5.344893932342529
token_confidence_threshold_t0055,completed,0.4114,confident,512,0.3,0.85,32000,0.748046875,0.7490770220756531,0.00831310823559761,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.701171875,0.85,5.344893932342529
token_confidence_threshold_t0056,completed,0.3961,confident,512,0.3,0.9,32000,0.748046875,0.7490770220756531,0.00831310823559761,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.701171875,0.9,5.344893932342529
token_confidence_threshold_t0057,completed,0.4057,confident,512,0.3,0.95,32000,0.748046875,0.7490770220756531,0.00831310823559761,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.701171875,0.95,5.344893932342529
token_confidence_threshold_t0058,completed,0.4067,confident,512,0.3,0.99,32000,0.748046875,0.7490770220756531,0.00624789297580719,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.69140625,0.99,5.180642127990723
token_confidence_threshold_t0059,completed,0.3960,confident,512,0.3,0.995,32000,0.748046875,0.7490770220756531,0.0041009788401424885,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.671875,0.995,4.87703800201416
token_confidence_threshold_t0060,completed,0.4017,confident,512,0.3,0.999,32000,0.748046875,0.7490770220756531,0.0012509985826909542,0.9998445510864258,0.07751934230327606,0.9999991655349731,0.599609375,0.999,4.001800537109375
token_confidence_threshold_t0061,completed,0.4058,confident,512,0.5,0.5,32000,0.65625,0.6464827060699463,0.8472878932952881,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.6875,0.5,8.255186080932617
token_confidence_threshold_t0062,completed,0.4007,confident,512,0.5,0.6,32000,0.65625,0.6464827060699463,0.7416764497756958,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.66796875,0.6,8.031892776489258
token_confidence_threshold_t0063,completed,0.4017,confident,512,0.5,0.7,32000,0.65625,0.6464827060699463,0.6022220849990845,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.634765625,0.7,7.611512660980225
token_confidence_threshold_t0064,completed,0.4080,confident,512,0.5,0.8,32000,0.65625,0.6464827060699463,0.47989189624786377,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.599609375,0.8,7.179259777069092
token_confidence_threshold_t0065,completed,0.4024,confident,512,0.5,0.85,32000,0.65625,0.6464827060699463,0.417235404253006,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.57421875,0.85,6.864256858825684
token_confidence_threshold_t0066,completed,0.3989,confident,512,0.5,0.9,32000,0.65625,0.6464827060699463,0.3268367648124695,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.525390625,0.9,6.301053047180176
token_confidence_threshold_t0067,completed,0.4016,confident,512,0.5,0.95,32000,0.65625,0.6464827060699463,0.2177201211452484,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.439453125,0.95,5.4706902503967285
token_confidence_threshold_t0068,completed,0.3980,confident,512,0.5,0.99,32000,0.65625,0.6464827060699463,0.06348349899053574,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.205078125,0.99,3.961693525314331
token_confidence_threshold_t0069,completed,0.4122,confident,512,0.5,0.995,32000,0.65625,0.6464827060699463,0.03839903697371483,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.130859375,0.995,3.63258957862854
token_confidence_threshold_t0070,completed,0.3981,confident,512,0.5,0.999,32000,0.65625,0.6464827060699463,0.011168980039656162,0.9150708317756653,0.0116396090015769,0.9958972930908203,0.029296875,0.999,3.257359027862549
token_confidence_threshold_t0071,completed,0.3992,confident,512,0.7,0.5,32000,0.33984375,0.34314557909965515,3.1911091804504395,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.333984375,0.5,8.219934463500977
token_confidence_threshold_t0072,completed,0.4025,confident,512,0.7,0.6,32000,0.33984375,0.34314557909965515,2.573028802871704,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.244140625,0.6,7.821830749511719
token_confidence_threshold_t0073,completed,0.3949,confident,512,0.7,0.7,32000,0.33984375,0.34314557909965515,2.1524198055267334,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.185546875,0.7,7.540041446685791
token_confidence_threshold_t0074,completed,0.4043,confident,512,0.7,0.8,32000,0.33984375,0.34314557909965515,1.5155454874038696,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.1015625,0.8,7.108410835266113
token_confidence_threshold_t0075,completed,0.4160,confident,512,0.7,0.85,32000,0.33984375,0.34314557909965515,1.2249833345413208,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.0703125,0.85,6.9423909187316895
token_confidence_threshold_t0076,completed,0.4092,confident,512,0.7,0.9,32000,0.33984375,0.34314557909965515,0.8809758424758911,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.03515625,0.9,6.746598720550537
token_confidence_threshold_t0077,completed,0.4053,confident,512,0.7,0.95,32000,0.33984375,0.34314557909965515,0.4225813150405884,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.00390625,0.95,6.564377307891846
token_confidence_threshold_t0078,completed,0.4043,confident,512,0.7,0.99,32000,0.33984375,0.34314557909965515,0,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.0,0.99,6.540385723114014
token_confidence_threshold_t0079,completed,0.4039,confident,512,0.7,0.995,32000,0.33984375,0.34314557909965515,0,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.0,0.995,6.540385723114014
token_confidence_threshold_t0080,completed,0.4084,confident,512,0.7,0.999,32000,0.33984375,0.34314557909965515,0,0.3001536726951599,0.0031966841779649258,0.8003661036491394,0.0,0.999,6.540385723114014
token_confidence_threshold_t0081,completed,0.4008,confident,512,1.0,0.5,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.5,9.54845905303955
token_confidence_threshold_t0082,completed,0.4013,confident,512,1.0,0.6,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.6,9.54845905303955
token_confidence_threshold_t0083,completed,0.4169,confident,512,1.0,0.7,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.7,9.54845905303955
token_confidence_threshold_t0084,completed,0.4092,confident,512,1.0,0.8,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.8,9.54845905303955
token_confidence_threshold_t0085,completed,0.4180,confident,512,1.0,0.85,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.85,9.54845905303955
token_confidence_threshold_t0086,completed,0.4040,confident,512,1.0,0.9,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.9,9.54845905303955
token_confidence_threshold_t0087,completed,0.4029,confident,512,1.0,0.95,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.95,9.54845905303955
token_confidence_threshold_t0088,completed,0.4029,confident,512,1.0,0.99,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.99,9.54845905303955
token_confidence_threshold_t0089,completed,0.4184,confident,512,1.0,0.995,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.995,9.54845905303955
token_confidence_threshold_t0090,completed,0.4027,confident,512,1.0,0.999,32000,0.05078125,0.04953288659453392,0,0.02964123524725437,0.0009863637387752533,0.12730427086353302,0.0,0.999,9.54845905303955
token_confidence_threshold_t0091,completed,0.4086,confident,512,1.5,0.5,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.5,10.133703231811523
token_confidence_threshold_t0092,completed,0.3984,confident,512,1.5,0.6,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.6,10.133703231811523
token_confidence_threshold_t0093,completed,0.4064,confident,512,1.5,0.7,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.7,10.133703231811523
token_confidence_threshold_t0094,completed,0.4024,confident,512,1.5,0.8,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.8,10.133703231811523
token_confidence_threshold_t0095,completed,0.4231,confident,512,1.5,0.85,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.85,10.133703231811523
token_confidence_threshold_t0096,completed,0.4165,confident,512,1.5,0.9,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.9,10.133703231811523
token_confidence_threshold_t0097,completed,0.4107,confident,512,1.5,0.95,32000,0.01171875,0.004298069514334202,0,0.0034284256398677826,0.0003489142982289195,0.009646243415772915,0.0,0.95,10.133703231811523
